undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586
,SMR,WesternDem,42664.211,0.034000001847744,,,2.383729934692383,
0.414,MOZ,SubSaharian,852.39001,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266
0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,
0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
0.48800001,SDN,SubSaharian,,,8.800000190734863,,,
,NRU,Pacific,3130.47,0.0120000001043081,,,,71.94534301757812
0.86500001,GRC,WesternDem,25295.27,10.92700004577637,3.799999952316284,2.999258995056152,,95.0673828125
0.414,GIN,SubSaharian,993.83002,11.74499988555908,7.199999809265137,2.425785064697266,3.208169937133789,31.78817939758301
0.57599998,ZMB,SubSaharian,1916.79,,7.800000190734863,4.328835487365723,,
0.39899999,BFA,SubSaharian,1095.96,16.5,6.900000095367432,2.868712186813355,4.60476016998291,26.4928092956543
0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.400000095367432,1.874972462654114,,
0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,6.300000190734863,4.464125156402588,3.278609991073608,75.01837158203125
0.75800002,MEX,Latam,13609.42,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078
0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265137,3.012430906295776,2.954190015792847,80.731201171875
0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,6.0,2.134715557098389,,
,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755127,98.2799835205078
0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,
0.421,SSD,SubSaharian,,,6.900000095367432,,1.712970018386841,
0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562
0.54799998,PAK,SouthAsia,2855.55,186.1900024414063,7.0,3.381112337112427,2.464349985122681,41.17535018920898
0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,7.5,3.17626953125,1.901970028877258,
0.764,TUR,NorthAfrica,16900.711,77.69599914550781,3.700000047683716,3.422157049179077,4.766260147094727,87.16455078125
