,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
190,0.76899999,VEN,LatAm,10513.96,,13.10000038146973,6.4699998,,5.256702423095703
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
115,0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041
187,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956
65,0.57499999,GHA,SubSaharian,2584.6001,,48.59999847412109,1.64,6.3000002,3.557291984558106
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.19999980926514,0.0,,4.968935012817383
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127
16,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
159,,SOM,SubSaharian,1436.74,,,0.0,,
32,0.347,CAF,SubSaharian,690.03998,,,1.66,,4.200222015380859
70,0.414,GIN,SubSaharian,993.83002,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812012
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756
69,0.63700002,GTM,LatAm,4438.0,,26.5,1.88,,6.202301502227783
1,0.76200002,ALB,EastEurope,8516.7002,,15.0,4.5100002,29.700001,5.883105278015137
72,0.49000001,HTI,LatAm,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
145,0.76200002,KNA,Caribbean,11237.75,,,8.6800003,,5.080365180969238
109,0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457
19,0.69800001,BWA,SubSaharian,12770.73,,41.0,5.7600002,,5.412002563476563
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283
23,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.742364883422852
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236
17,0.671,BOL,LatAm,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
125,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
8,0.93699998,AUS,WesternDem,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115
53,0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.804079055786133
28,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
83,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094
166,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
42,0.77499998,CRI,LatAm,9485.71,,8.600000381469727,3.45,14.2,9.313112258911133
91,0.79900002,KWT,NorthAfrica,64342.711,3.999000072479248,9.5,0.02,,3.042368412017822
154,0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
144,0.493,RWA,SubSaharian,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
61,0.69400001,GAB,SubSaharian,14525.28,,42.40000152587891,8.8599997,,3.437471628189087
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
156,0.84200001,SVK,EastEurope,21776.34,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,3.400000095367432,12.6,23.9,10.59475135803223
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.700000047683716,9.6099997,24.1,11.65926837921143
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
36,0.73400003,CHN,EastAsia,9283.3799,,12.10000038146973,5.7800002,25.9,5.548227787017822
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.10000038146973,0.029999999,11.7,6.894922256469727
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.700000047683716,11.12,24.4,6.937873363494873
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102
99,0.91100001,LIE,WesternDem,102243.52,,,,,
49,0.72399998,DMA,Caribbean,12613.72,,,5.46,,5.485832691192627
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
85,0.90200001,JPN,EastAsia,36123.77,127.120002746582,2.200000047683716,7.5500002,22.799999,10.22874450683594
172,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.24687671661377
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734863,0.51999998,22.299999,4.169077873229981
128,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,,1.58,,13.7069149017334
